gid	n_B73	n_Mo17	n_ambiguous
ENSRNA049438546	1	0	0
ENSRNA049439355	1	0	0
ENSRNA049440238	0	2	0
ENSRNA049444035	0	1	0
ENSRNA049444555	0	1	0
ENSRNA049444619	1	0	0
ENSRNA049445002	2	6	1
ENSRNA049445090	89	0	0
ENSRNA049447762	0	2	0
ENSRNA049448545	0	1	0
ENSRNA049451091	19	3	0
ENSRNA049453565	2	1	0
ENSRNA049453841	2	1	0
ENSRNA049454111	1	6	0
ENSRNA049454125	2	1	0
ENSRNA049454750	3	0	0
ENSRNA049455185	1	0	0
ENSRNA049455608	21	2	2
ENSRNA049456199	22	0	2
ENSRNA049456278	0	1	0
ENSRNA049456692	1	2	0
ENSRNA049457038	4	0	0
ENSRNA049458426	3	1	0
ENSRNA049458495	0	1	0
ENSRNA049458795	17	10	0
ENSRNA049458812	2	10	0
ENSRNA049458826	13	13	1
ENSRNA049458846	9	9	0
ENSRNA049458957	40	31	1
ENSRNA049458986	12	10	0
ENSRNA049459056	3	2	0
ENSRNA049459076	19	17	0
ENSRNA049459101	43	56	3
ENSRNA049459132	4	0	0
ENSRNA049459300	1	0	0
ENSRNA049459833	2	1	0
ENSRNA049459870	2	0	0
ENSRNA049460030	2	1	0
ENSRNA049460066	2	0	0
ENSRNA049460407	0	2	0
ENSRNA049460705	6	8	0
ENSRNA049461886	72	17	2
ENSRNA049462043	4	0	0
ENSRNA049462250	9	0	0
ENSRNA049462318	3	0	0
ENSRNA049462331	8	0	0
ENSRNA049462348	1	0	0
ENSRNA049463233	0	2	0
ENSRNA049463546	32	13	0
ENSRNA049463586	1	2	0
ENSRNA049463738	1	0	0
ENSRNA049463761	1	3	0
ENSRNA049463774	10	40	2
ENSRNA049463790	0	8	0
ENSRNA049463813	32	48	0
ENSRNA049463846	12	96	6
ENSRNA049463865	70	51	0
ENSRNA049464122	1	0	0
ENSRNA049464139	1	0	0
ENSRNA049464403	1	5	0
ENSRNA049464622	77	0	0
ENSRNA049464979	2	2	0
ENSRNA049465110	63	0	0
ENSRNA049465834	1	6	1
ENSRNA049465846	3	3	0
ENSRNA049466048	3	1	0
ENSRNA049466270	2	2	0
ENSRNA049466569	2	2	0
ENSRNA049466579	3	0	0
ENSRNA049466617	6	0	0
ENSRNA049466632	6	0	0
ENSRNA049466657	3	0	0
ENSRNA049466664	3	0	0
ENSRNA049466693	2	0	0
ENSRNA049466701	5	2	0
ENSRNA049466709	4	13	1
ENSRNA049466789	0	2	0
ENSRNA049467046	2	0	1
ENSRNA049467439	3	0	0
ENSRNA049467581	7	0	0
ENSRNA049467592	0	1	0
ENSRNA049467685	0	1	0
ENSRNA049469023	1	0	0
ENSRNA049469912	17	1	0
ENSRNA049470263	0	1	0
ENSRNA049470320	0	2	0
ENSRNA049470723	8	6	0
ENSRNA049470850	1	0	0
ENSRNA049470888	7	0	0
ENSRNA049470931	19	0	0
ENSRNA049470937	31	5	0
ENSRNA049471008	2	1	0
ENSRNA049471095	2	1	0
ENSRNA049471119	4	1	0
ENSRNA049471337	6	0	0
ENSRNA049471370	32	1	0
ENSRNA049471642	1	0	0
ENSRNA049471654	4	2	0
ENSRNA049471660	8	6	0
ENSRNA049471804	7	0	2
ENSRNA049471974	2	0	0
ENSRNA049471983	5	0	0
ENSRNA049472005	12	5	1
ENSRNA049472011	18	0	0
ENSRNA049472105	2	10	0
ENSRNA049472180	5	0	0
ENSRNA049472213	6	0	0
ENSRNA049472261	3	2	0
ENSRNA049472502	1	0	0
ENSRNA049472536	2	1	1
ENSRNA049472638	134	52	0
ENSRNA049473589	1	0	0
ENSRNA049473644	4	0	0
ENSRNA049473651	10	5	0
ENSRNA049473875	1	0	0
ENSRNA049473886	3	0	0
ENSRNA049474089	14	0	0
ENSRNA049474264	46	25	0
ENSRNA049474492	2	3	0
ENSRNA049474585	1	1	0
ENSRNA049474645	28	17	0
ENSRNA049474888	3	0	0
ENSRNA049474911	7	4	0
ENSRNA049474917	86	18	0
ENSRNA049475121	0	1	0
ENSRNA049475128	1	0	0
ENSRNA049475181	1	2	0
ENSRNA049475223	8	1	0
ENSRNA049475237	3	5	1
ENSRNA049475307	4	0	0
ENSRNA049475322	21	0	0
ENSRNA049475348	7	0	1
ENSRNA049475359	21	0	0
ENSRNA049475532	9	0	0
ENSRNA049475579	1	1	0
ENSRNA049475591	1	1	0
ENSRNA049475617	1	0	0
ENSRNA049475645	10	0	0
